InstanceID,ClassID,PanopticID,MeshID,InfraredID,R,G,B,Name,Size
0,0,0,0,0,55,181,57,SM_Ceiling_a,M
1,1,0,1,13,153,108,6,SM_Floor_a,M
2,2,0,2,22,112,105,191,SM_Walls_a,M
3,3,0,3,28,89,121,72,SM_Windows_glass_a,M
4,3,0,4,34,190,225,64,SM_Windows_Windows_a,M
5,2,0,5,38,206,190,59,SM_TV_Wall_a,M
6,4,1,6,42,81,13,36,SM_Bed_a,L
7,4,1,7,46,115,176,195,SM_Bed_b,L
8,5,1,8,50,161,171,27,SM_Bed_lamp_a,M
9,5,1,9,53,135,169,180,SM_Bed_lamp_b,M
10,6,1,10,56,29,26,199,SM_Bed_table_a,M
11,6,1,11,59,102,16,239,SM_Bed_table_b,M
12,7,1,12,61,242,107,146,SM_Ceiling_lamp_a,M
13,7,1,13,64,156,198,23,SM_Ceiling_lamp_b,M
14,7,1,14,66,49,89,160,SM_Ceiling_lamp_c,M
15,7,1,15,69,68,218,116,SM_Ceiling_lamp_d,M
16,7,1,16,71,11,236,9,SM_Ceiling_lamp_e,M
17,7,1,17,73,196,30,8,SM_Ceiling_lamp_f,M
18,7,1,18,75,121,67,28,SM_Ceiling_lamp_g,M
19,7,1,19,77,0,53,65,SM_Ceiling_lamp_h,M
20,7,1,20,79,146,52,70,SM_Ceiling_lamp_i,M
21,7,1,21,81,226,149,143,SM_Ceiling_lamp_j,M
22,7,1,22,83,151,126,171,SM_Ceiling_lamp_k,M
23,7,1,23,85,194,39,7,SM_Ceiling_lamp_l,M
24,8,1,24,86,205,120,161,SM_Chair_a,M
25,8,1,25,88,212,51,60,SM_Chair_b,M
26,8,1,26,90,211,80,208,SM_Office_Chair_base_a,M
27,9,1,27,91,189,135,188,SM_Coffee_table_a,M
28,10,1,28,93,54,72,205,SM_Cup_a,S
29,10,1,29,95,103,252,157,SM_Cup_b,S
30,10,1,30,96,124,21,123,SM_Cup_c,S
31,11,1,31,98,19,132,69,SM_Decor_a,S
32,11,1,32,99,195,237,132,SM_Decor_b,S
33,12,1,33,101,94,253,175,SM_Digital_Clock_a,M
34,13,1,34,102,182,251,87,SM_Dimmer_a,M
35,13,1,35,104,90,162,242,SM_Dimmer_b,M
36,14,1,36,105,199,29,1,SM_Door_a,M
37,14,1,37,106,254,12,229,SM_Door_b,M
38,15,1,38,108,35,196,244,SM_Floor_Lamp_a,M
39,16,1,39,109,220,163,49,SM_Journal_a,S
40,16,1,40,110,86,254,214,SM_Journal_b,S
41,16,1,41,112,152,3,129,SM_Journal_c,S
42,17,1,42,113,92,31,106,SM_Kitchen_a,L
43,18,1,43,114,207,229,90,SM_Picture_a,M
44,18,1,44,115,125,75,48,SM_Picture_b,M
45,18,1,45,117,98,55,74,SM_Picture_c,M
46,18,1,46,118,126,129,238,SM_Picture_d,M
47,18,1,47,119,222,153,109,SM_Picture_e,M
48,18,1,48,120,85,152,34,SM_Picture_f,M
49,18,1,49,121,173,69,31,SM_Picture_g,M
50,19,1,50,122,37,128,125,SM_Plant_a,S
51,20,1,51,124,58,19,33,SM_Plate_a,S
52,20,1,52,125,134,57,119,SM_Plate_b,S
53,20,1,53,126,218,124,115,SM_Plate_c,S
54,21,1,54,127,120,0,200,SM_Remote_a,S
55,22,1,55,128,225,131,92,SM_Sofa_a,L
56,23,1,56,129,246,90,16,SM_Stack_of_Books_a,S
57,23,1,57,130,51,155,241,SM_Stack_of_Books_b,S
58,23,1,58,131,202,97,155,SM_Stack_of_Books_c,S
59,23,1,59,132,184,145,182,SM_Stack_of_Books_d,S
60,23,1,60,133,96,232,44,SM_Stack_of_Books_e,S
61,23,1,61,134,133,244,133,SM_Stack_of_Books_f,S
62,24,1,62,135,180,191,29,SM_Table_a,M
63,24,1,63,136,1,222,192,SM_Table_b,M
64,25,1,64,137,99,242,104,SM_Table_Decor_a,S
65,26,1,65,138,91,168,219,SM_Tumblr_a,S
66,26,1,66,139,65,54,217,SM_Tumblr_b,S
67,27,1,67,140,148,66,130,SM_TV_a,M
68,28,1,68,141,203,102,204,SM_Wall_Clock_a,M
69,29,1,69,142,216,78,75,SM_Coffee_Machine_a,S
71,30,1,71,144,109,206,24,SM_Laptop_a,S
